0	1
0.2	1
0.4	1.00794677
0.6	1.02396516
0.8	1.04805074
1	1.08004579
1.2	1.11960071
1.4	1.1661252
1.6	1.21873652
1.8	1.27621465
2	1.33697678
2.2	1.39908423
2.4	1.46029378
2.6	1.51816052
2.8	1.57019149
3	1.61403897
3.2	1.64771146
3.4	1.66977257
3.6	1.67949565
3.8	1.67694703
4	1.66298278
4.2	1.63916011
4.4	1.60758042
4.6	1.57069256
4.8	1.53108894
5	1.49132383
5.2	1.45377412
5.4	1.42055134
5.6	1.39346333
5.8	1.37401599
6	1.3634418
6.2	1.3627408
6.4	1.37272126
6.6	1.39402969
6.8	1.42716279
7	1.47245651
7.2	1.53005014
7.4	1.59982621
7.6	1.68133033
7.8	1.77367925
8	1.87547024
8.2	1.98470953
8.4	2.09878099
8.6	2.21447687
8.8	2.32810816
9	2.43570251
9.2	2.53328253
9.4	2.61719956
9.6	2.68448123
9.8	2.7331414
10	2.76240148
10.2	2.77278535
10.4	2.76607267
10.6	2.74512245
10.8	2.71360209
11	2.67567135
11.2	2.6356724
11.4	2.59786763
11.6	2.56625058
11.8	2.54443723
12	2.53562948
12.2	2.54263265
12.4	2.56790414
12.6	2.61361008
12.8	2.68166958
13	2.77376968
13.2	2.89133833
13.4	3.03546726
13.6	3.20678142
13.8	3.40525844
14	3.63000988
14.2	3.87904685
14.4	4.14906441
14.6	4.43529004
14.8	4.73144798
15	5.02988885
15.2	5.32191943
15.4	5.59833919
15.6	5.85015113
15.8	6.06937218
16	6.24983439
16.2	6.38785384
16.4	6.48265749
16.6	6.53649871
16.8	6.55445076
17	6.54392821
17.2	6.51403269
17.4	6.47484041
17.6	6.43674158
17.8	6.40991257
18	6.40396147
18.2	6.42774819
18.4	6.48934959
18.6	6.59612164
18.8	6.75480377
19	6.97161178
19.2	7.25227168
19.4	7.60195507
19.6	8.02508617
19.8	8.52500229
20	9.10346520
